date,FundValNet,ForeignValNet,CustomerValNet
2016-01-04,-5952.0,13758.0,-7806.0
2016-01-05,-9636.0,8085.0,1551.0
2016-01-06,2433.0,635.0,-3068.0
2016-01-07,684.0,10242.0,-10926.0
2016-01-08,-11709.0,12406.0,-697.0
2016-01-11,-6200.0,728.0,5472.0
2016-01-12,-2446.0,-70.0,2516.0
2016-01-13,2773.0,8414.0,-11187.0
2016-01-14,-4663.0,-8552.0,13215.0
2016-01-15,4964.0,-2375.0,-2589.0
2016-01-18,-1213.0,8129.0,-6916.0
2016-01-19,1409.0,-681.0,-728.0
2016-01-20,8550.0,-2361.0,-6189.0
2016-01-21,-8906.0,9448.0,-542.0
2016-01-22,-16172.0,8576.0,7596.0
2016-01-25,-293.0,1200.0,-907.0
2016-01-26,810.0,3313.0,-4123.0
2016-01-27,5991.0,-5359.0,-632.0
2016-01-28,952.0,4594.0,-5546.0
2016-01-29,6713.0,1309.0,-8022.0
2016-02-01,6129.0,-5010.0,-1119.0
2016-02-02,-2498.0,-4839.0,7337.0
2016-02-03,1628.0,-1604.0,-24.0
2016-02-04,-3240.0,11943.0,-8703.0
2016-02-05,-6270.0,2798.0,3472.0
2016-02-08,-9315.0,13443.0,-4128.0
2016-02-09,-361.0,-3749.0,4110.0
2016-02-10,-6628.0,-869.0,7497.0
2016-02-11,13058.0,-2127.0,-10931.0
2016-02-12,-3803.0,3469.0,334.0
2016-02-14,-3524.0,7526.0,-4002.0
2016-02-15,-6108.0,5931.0,177.0
2016-02-16,4485.0,431.0,-4916.0
2016-02-17,-3345.0,-2863.0,6208.0
2016-02-18,4107.0,11921.0,-16028.0
2016-02-19,-14310.0,7556.0,6754.0
2016-02-23,3050.0,-1706.0,-1344.0
2016-02-24,598.0,1454.0,-2052.0
2016-02-25,-2818.0,5681.0,-2863.0
2016-02-26,-249.0,3761.0,-3512.0
2016-02-29,3134.0,2709.0,-5843.0
2016-03-01,-3399.0,-5174.0,8573.0
2016-03-02,-4688.0,7893.0,-3205.0
2016-03-03,-9105.0,6284.0,2821.0
2016-03-04,-341.0,-6712.0,7053.0
2016-03-07,-1632.0,5407.0,-3775.0
2016-03-08,1939.0,-4476.0,2537.0
2016-03-09,-3570.0,-9070.0,12640.0
2016-03-10,2886.0,9476.0,-12362.0
2016-03-11,-10109.0,-1207.0,11316.0
2016-03-14,1834.0,4262.0,-6096.0
2016-03-15,-2575.0,962.0,1613.0
2016-03-16,-1670.0,-2274.0,3944.0
2016-03-17,-1564.0,12529.0,-10965.0
2016-03-18,-4630.0,3501.0,1129.0
2016-03-21,-4731.0,3078.0,1653.0
2016-03-22,1205.0,-644.0,-561.0
2016-03-23,91.0,-9410.0,9319.0
2016-03-24,3422.0,-3438.0,16.0
2016-03-25,3471.0,-1139.0,-2332.0
2016-03-28,-2715.0,1221.0,1494.0
2016-03-29,694.0,-2651.0,1957.0
2016-03-30,-7125.0,11244.0,-4119.0
2016-03-31,501.0,-4533.0,4032.0
2016-04-01,519.0,2529.0,-3048.0
2016-04-04,-3226.0,-3917.0,7143.0
2016-04-05,5066.0,-12172.0,7106.0
2016-04-07,7659.0,-87.0,-7572.0
2016-04-08,2296.0,3993.0,-6289.0
2016-04-11,-1146.0,4594.0,-3448.0
2016-04-12,-245.0,4479.0,-4234.0
2016-04-18,-4529.0,14061.0,-9532.0
